,id,neighbourhood,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,cancellation_policy,price
0,727,1,1,1,150,205,1.8,4,300,13,False,1.0,0,1,True,2000,1,0,250,False,1,2
1,6274,11,2,1,10,197,0.5,1,0,14,False,1.0,1,1,True,500,1,0,0,True,3,1
2,6025,2,1,3,2,1911,0.08,6,350,17,True,1.0,0,1,True,1000,3,300,50,False,3,3
3,8931,2,1,2,1,1911,0.1,1,250,192,True,1.0,1,3,True,0,4,0,1000,False,2,2
4,7524,3,1,2,30,1912,1.0,5,350,15,False,1.0,1,3,True,2000,1,0,250,False,3,3
5,5509,14,1,1,10,203,0.5,1,350,16,True,1.0,1,1,True,500,1,0,0,True,3,1
6,10070,12,1,6,5,197,0.2,1,0,14,True,1.0,2,2,True,500,1,0,1000,True,2,1
7,1102,9,1,5,10,195,0.1,6,300,12,True,1.0,1,2,True,2000,2,1000,1000,False,2,2
8,4510,1,1,5,15,18,0.2,1,75,16,True,1.0,1,1,True,1000,1,700,1000,False,2,4
9,13794,15,2,6,2,206,1.0,1,350,18,True,1.5,1,1,True,0,1,0,50,False,2,1
10,11935,6,1,1,30,203,4.0,2,350,199,False,1.0,2,4,True,1000,1,0,25,True,1,2
11,10253,4,1,4,10,203,0.75,1,250,195,False,1.0,1,1,True,1000,1,0,1000,False,2,2
12,10018,2,1,3,5,1910,0.2,1,0,14,True,1.0,1,3,True,2000,2,300,50,False,1,3
13,11553,2,1,5,5,203,0.75,6,300,16,False,1.0,1,1,True,1000,1,0,100,False,3,4
14,4126,1,1,2,50,203,1.0,2,75,13,False,1.5,1,1,True,1000,1,0,1000,True,3,2
15,12295,12,1,2,1,1911,0.1,1,0,18,True,2.0,4,5,True,4000,1,0,50,True,3,4
16,10884,15,1,5,1,198,0.09,2,350,195,True,1.0,2,2,True,3000,1,0,25,False,2,3
17,7879,1,1,3,30,202,1.8,1,176,15,True,1.0,0,1,True,1000,1,0,25,False,1,3
18,8476,14,2,1,5,202,0.2,1,100,15,True,1.5,1,1,True,0,1,500,50,True,2,1
19,2743,15,1,3,30,203,0.75,1,250,16,False,1.5,0,1,True,500,3,600,1000,True,1,2
20,12952,2,1,5,1,202,0.2,2,250,17,True,1.0,1,1,True,1000,1,400,1000,True,1,3
21,9203,1,1,6,50,205,3.0,1,50,12,False,1.0,1,1,True,1000,2,600,1000,False,1,1
22,958,5,1,5,15,192,0.2,1,350,14,True,1.5,2,3,True,1000,1,0,25,True,1,4
