,id,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,cleaning_fee,guests_included,extra_people,maximum_nights,require_guest_profile_picture,price,house_price,Da_hood_Almagro,Da_hood_Balvanera,Da_hood_Barracas,Da_hood_Belgrano,Da_hood_Boedo,Da_hood_Caballito,Da_hood_Chacarita,Da_hood_Constitución,Da_hood_Flores,Da_hood_Floresta,Da_hood_La Boca,Da_hood_La Paternal,Da_hood_Monserrat,Da_hood_Nueva Pompeya,Da_hood_Núñez,Da_hood_Palermo,Da_hood_Parque Avellaneda,Da_hood_Parque Chas,Da_hood_Parque Patricios,Da_hood_Recoleta,Da_hood_Saavedra,Da_hood_San Cristóbal,Da_hood_Villa Crespo,Da_hood_Villa Ortúzar,Da_hood_Villa Santa Rita,Cancel_flexible,Cancel_strict_14_with_grace_period,Room_Entire home/apt,Room_Private room,Room_Shared room
0,727,1,170,205,2.48,4,346,13,False,1.0,0,1,2092,1,0,365,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,6274,1,11,197,0.57,1,0,14,False,1.0,1,1,558,1,0,15,True,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,6025,3,2,1911,0.08,19,360,17,True,1.0,0,1,1052,3,351,90,True,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,8931,2,1,1911,0.13,1,267,19,True,1.0,1,3,0,4,0,1125,True,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
4,7524,2,31,1912,1.54,5,365,15,False,1.0,1,3,2092,1,0,365,True,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5509,1,14,203,0.51,1,360,16,True,1.0,1,1,699,1,0,7,True,1,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,10070,8,5,197,0.35,1,0,14,True,1.0,2,2,900,1,0,1125,True,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7,1102,5,12,195,0.18,58,334,12,True,1.0,1,2,2103,2,1052,1125,True,2,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8,4510,5,16,187,0.45,1,87,16,True,1.0,1,1,1402,1,701,1122,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9,13794,30,2,206,1.67,1,360,18,True,1.5,1,1,0,1,0,90,True,1,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,11935,1,41,203,4.66,2,361,19,False,1.0,2,4,1052,1,0,30,True,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11,10253,4,11,203,0.98,1,261,19,False,1.0,1,1,1046,1,0,1125,True,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12,10018,3,5,1910,0.37,1,0,14,True,1.0,1,3,2092,2,349,89,True,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
13,11553,5,5,203,0.87,17,341,16,False,1.0,1,1,1402,1,0,200,True,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14,4126,2,62,203,1.68,2,89,13,False,1.5,1,1,1630,1,0,1125,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,12295,2,1,1911,0.14,1,0,18,True,2.0,4,8,5248,1,0,60,True,4,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,10884,5,1,198,0.09,2,359,19,True,1.0,2,2,3528,1,0,31,True,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17,7879,3,46,202,2.41,1,180,15,True,1.0,0,1,1186,1,0,30,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,8476,1,7,202,0.41,1,111,15,True,1.5,1,1,0,1,560,60,True,1,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19,2743,3,33,203,0.85,1,264,16,False,1.5,0,1,500,3,685,1125,True,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20,12952,5,1,202,0.23,2,268,17,True,1.0,1,1,1744,1,488,1125,True,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
21,9203,7,51,205,3.87,1,64,12,False,1.0,1,1,1397,2,698,1125,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,958,5,17,192,0.23,1,359,14,True,1.5,2,3,1536,1,0,30,True,4,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23,1810,3,94,203,1.54,2,0,15,False,1.0,0,1,771,1,0,30,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,9187,1,11,198,0.69,3,359,14,False,1.0,1,1,0,1,599,1125,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,9154,2,1,197,0.09,32,89,17,True,1.0,1,3,1395,1,0,1125,True,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
26,2487,2,83,203,1.56,1,365,14,True,1.0,0,1,1325,1,0,1125,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,1699,2,18,191,0.29,5,180,14,True,1.0,0,2,1255,2,1046,1125,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
28,13032,1,3,201,0.51,12,364,19,True,1.0,0,2,697,3,697,1125,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,7361,1,7,198,0.34,2,359,16,True,1.0,1,1,698,1,0,1125,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30,2076,8,96,1912,1.67,1,264,15,False,1.0,0,1,0,1,0,60,True,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,9292,7,5,1910,0.34,1,155,15,False,1.0,1,1,2095,1,0,90,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
32,9591,3,10,199,0.69,62,85,12,False,1.0,2,2,3149,1,0,1125,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
33,9821,1,30,203,3.25,1,360,17,False,1.0,1,1,350,1,0,1125,True,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,5534,2,7,1912,0.47,32,365,17,True,2.5,2,6,1395,1,0,1125,True,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
35,13609,7,2,203,0.48,1,359,20,True,1.0,2,3,1397,1,0,360,True,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
36,12720,1,1,1912,0.16,1,174,18,True,1.0,1,1,0,1,0,6,True,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
37,6824,5,35,202,2.31,1,2,18,False,2.0,2,2,1399,4,2099,30,True,4,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,12209,2,10,203,1.25,4,22,12,True,2.0,2,4,701,3,560,60,True,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
39,5558,3,3,202,0.11,2,84,12,True,1.0,1,2,1746,3,1048,1125,True,3,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
40,8707,3,11,203,0.73,2,31,16,False,1.5,2,3,1469,2,700,30,True,3,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,9574,2,29,203,2.0,17,174,19,False,1.0,0,2,2235,1,0,90,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42,13186,3,1,203,0.31,1,174,19,True,1.0,1,2,1500,1,0,30,True,2,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
43,10133,2,13,199,0.99,1,264,16,False,1.0,2,3,698,1,0,1125,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,4441,2,15,1811,0.43,1,89,17,True,1.0,1,1,1395,1,488,1125,True,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
45,6838,3,38,203,1.83,1,174,16,False,1.0,1,1,1399,1,700,1125,True,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,12250,1,4,201,0.5,3,141,18,False,1.0,1,1,3143,1,349,1125,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
47,4810,7,16,203,0.51,4,175,12,False,2.5,2,4,5598,1,0,1125,True,4,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,4754,3,1,1712,0.03,1,89,17,True,1.0,2,2,1744,1,0,1125,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
49,12559,1,1,201,0.18,18,206,13,False,3.0,3,3,5254,6,1051,1125,True,4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,6988,4,24,203,1.1,1,174,18,True,1.0,1,1,1048,1,0,30,True,2,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
51,9950,1,1,194,0.07,1,0,14,True,1.0,1,1,0,1,0,3,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
52,7625,3,47,204,2.42,1,358,18,True,1.0,1,3,694,2,405,30,True,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
53,414,2,62,202,0.68,1,365,12,True,1.0,1,0,2441,2,697,1125,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,13062,2,7,203,1.34,1,0,18,False,2.5,1,2,900,1,0,1125,True,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
55,8361,2,38,203,2.34,1,360,16,True,1.0,1,0,1500,1,0,1125,True,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,8584,14,5,196,0.33,1,362,16,True,1.0,2,3,1753,4,0,1125,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,343,3,2,185,0.03,2,359,12,True,1.0,1,1,1397,1,1397,1124,True,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
58,12625,1,7,203,0.98,2,179,19,True,1.0,1,2,2092,2,0,1125,True,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
59,6848,3,13,191,0.6,1,80,17,True,1.0,0,1,1048,1,0,20,True,3,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,13302,7,4,203,0.82,3,84,18,True,1.0,1,2,1000,1,0,1125,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
61,1081,14,1,197,0.09,6,185,11,True,1.0,0,1,2099,1,0,365,False,1,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
62,4636,3,43,203,1.43,2,86,17,False,1.5,1,1,631,1,0,90,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
63,5110,7,5,188,0.17,1,0,17,True,1.0,1,1,0,1,0,31,True,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
64,224,3,106,201,1.06,16,255,12,False,1.5,1,2,2095,2,698,1125,False,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
65,7252,2,63,205,3.43,2,125,13,False,1.0,1,1,1395,1,349,90,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
66,11876,1,13,203,1.42,35,84,14,False,1.5,1,2,1955,1,698,1125,True,3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
67,2024,5,28,1811,0.47,1,174,15,True,1.0,0,2,3492,1,0,1125,True,3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,11409,2,8,204,0.78,2,329,18,False,1.0,1,1,500,1,0,1125,True,1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,4220,5,115,203,3.05,1,86,17,False,1.0,1,3,1751,2,350,60,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
70,11554,1,22,203,2.28,4,173,13,True,1.0,0,1,1395,1,0,1125,False,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,9734,2,12,1912,0.87,1,84,15,True,1.0,1,1,0,1,0,7,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
72,3963,3,2,174,0.05,2,0,16,True,1.0,1,1,450,1,0,30,True,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
73,6155,90,47,203,1.92,1,358,18,True,1.0,2,3,0,1,0,360,True,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
74,5843,3,4,1912,0.22,2,153,14,False,1.0,0,1,1048,1,349,1125,True,2,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,6995,4,13,1912,0.64,2,361,13,True,1.0,1,1,2102,1,0,1125,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
76,6157,3,4,1811,0.17,1,360,16,True,1.0,2,2,1749,2,1050,30,True,3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
77,5904,7,7,188,0.27,2,90,18,True,1.0,0,1,0,1,0,60,True,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
78,5914,3,1,192,0.06,3,58,16,False,2.5,3,6,2441,1,0,20,True,4,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
79,3174,15,73,201,1.54,23,349,11,True,1.5,2,1,2103,1,0,1125,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
80,6487,3,39,203,1.65,1,174,12,False,1.0,1,1,0,1,0,70,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
81,4764,3,20,193,0.65,7,359,11,False,1.0,1,1,2095,2,0,1125,False,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
82,10157,1,39,203,2.93,13,0,18,False,1.0,1,1,1813,2,0,28,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
83,504,6,39,206,0.61,1,173,10,True,1.0,1,1,5587,1,0,90,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
84,3401,15,3,1912,0.07,1,359,16,True,1.0,2,3,4888,1,0,1125,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
85,13641,1,3,204,0.72,1,294,19,True,1.0,1,1,4185,1,0,1125,True,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
86,8444,3,20,202,1.35,1,365,18,True,1.0,1,3,0,2,697,1125,True,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
87,10401,4,1,195,0.08,1,0,15,True,1.0,1,1,1395,2,0,1125,True,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,7772,1,7,203,0.52,4,338,16,False,1.0,1,3,978,2,419,1125,True,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
89,8554,15,1,204,0.54,1,15,14,True,1.0,0,0,1050,1,1050,80,True,2,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
90,3898,1,36,1910,0.96,1,344,15,True,1.0,1,2,2029,1,0,1125,True,1,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,6415,2,3,193,0.13,1,187,16,True,1.0,1,3,1744,1,0,1125,True,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
92,11146,2,44,203,3.99,1,90,19,False,1.0,0,1,488,1,0,365,True,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,10908,1,11,201,0.95,1,360,19,False,2.0,3,6,5248,5,0,1125,True,4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
94,4691,2,12,201,0.64,1,72,17,False,1.5,2,3,1395,1,0,30,True,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
95,3200,3,17,194,0.37,1,174,15,True,1.0,1,2,2793,1,0,30,True,4,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
96,2054,1,13,203,1.3,4,358,11,True,2.0,2,3,2793,4,698,1125,True,4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
97,763,5,3,1911,0.16,1,359,11,True,1.5,2,3,1746,3,0,180,True,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
98,9336,2,4,1912,0.27,1,0,19,True,1.0,2,2,1000,3,300,90,True,1,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,7433,2,31,202,1.53,1,174,18,False,1.0,0,0,350,1,0,1125,True,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,11331,7,14,202,1.89,1,180,19,True,1.0,0,1,2339,1,0,60,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,10088,1,3,202,0.4,2,85,18,True,1.0,1,1,1500,1,0,1125,True,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
102,2769,3,27,201,0.53,3,89,16,False,1.5,1,0,301,1,0,1125,True,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
103,7426,3,3,1811,0.15,2,364,16,True,1.0,0,1,767,1,0,30,True,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
104,1061,3,4,171,0.07,1,356,14,True,1.0,1,1,1046,1,0,365,True,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
