,id,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,price,Da_hood_1,Da_hood_2,Da_hood_3,Cancel_flexible,Cancel_moderate,Cancel_strict_14_with_grace_period,Room_Entire home/apt,Room_Hotel room,Room_Private room,Room_Shared room
0,727,1,50,205,2.0,4,250,13,False,1.0,0,1,True,1000,1,0,100,False,2,1,0,0,0,0,1,1,0,0,0
1,6274,1,2,19,0.5,1,0,14,False,1.0,1,1,True,100,1,0,0,True,1,0,0,1,0,1,0,0,0,1,0
2,6025,3,2,19,0.0,6,350,17,True,1.0,0,1,True,1000,3,1,25,False,3,0,1,0,0,1,0,1,0,0,0
3,8931,2,0,19,0.0,1,250,19,True,1.0,1,3,True,0,4,0,500,False,2,0,1,0,1,0,0,1,0,0,0
4,7524,2,15,19,1.0,5,350,15,False,1.0,1,3,True,1000,1,0,100,False,3,0,0,1,0,1,0,1,0,0,0
5,5509,1,2,203,0.5,1,350,16,True,1.0,1,1,True,100,1,0,0,True,1,0,0,1,0,1,0,1,0,0,0
6,10070,6,2,19,0.2,1,0,14,True,1.0,2,2,True,100,1,0,500,True,1,0,0,1,1,0,0,1,0,0,0
7,1102,5,2,19,0.0,6,250,12,True,1.0,1,2,True,1000,2,1000,500,False,2,0,0,1,1,0,0,1,0,0,0
8,4510,5,15,18,0.2,1,50,16,True,1.0,1,1,True,1000,1,500,500,False,4,1,0,0,1,0,0,1,0,0,0
9,13794,6,2,206,1.0,1,350,18,True,1.5,1,1,True,0,1,0,25,False,1,0,0,1,1,0,0,0,0,1,0
10,11935,1,15,203,2.0,2,350,19,False,1.0,2,4,True,1000,1,0,25,True,2,0,0,1,0,0,1,1,0,0,0
11,10253,4,2,203,0.5,1,250,19,False,1.0,1,1,True,1000,1,0,500,False,2,0,0,1,1,0,0,1,0,0,0
12,10018,3,2,19,0.2,1,0,14,True,1.0,1,3,True,1000,2,1,25,False,3,0,1,0,0,0,1,1,0,0,0
13,11553,5,2,203,0.5,6,250,16,False,1.0,1,1,True,1000,1,0,100,False,4,0,1,0,0,1,0,1,0,0,0
14,4126,2,50,203,1.0,2,50,13,False,1.5,1,1,True,1000,1,0,500,True,2,1,0,0,0,1,0,1,0,0,0
15,12295,2,0,19,0.0,1,0,18,True,2.0,4,5,True,2400,1,0,25,True,4,0,0,1,0,1,0,1,0,0,0
16,10884,5,0,19,0.0,2,350,19,True,1.0,2,2,True,2400,1,0,25,False,3,0,0,1,1,0,0,1,0,0,0
17,7879,3,15,202,2.0,1,150,15,True,1.0,0,1,True,1000,1,0,25,False,3,1,0,0,0,0,1,1,0,0,0
18,8476,1,2,202,0.2,1,50,15,True,1.5,1,1,True,0,1,500,25,True,1,0,0,1,1,0,0,0,0,1,0
19,2743,3,15,203,0.5,1,250,16,False,1.5,0,1,True,100,3,500,500,True,2,0,0,1,0,0,1,1,0,0,0
20,12952,5,0,202,0.2,2,250,17,True,1.0,1,1,True,1000,1,1,500,True,3,0,1,0,0,0,1,1,0,0,0
21,9203,6,50,205,2.0,1,50,12,False,1.0,1,1,True,1000,2,500,500,False,1,1,0,0,0,0,1,1,0,0,0
22,958,5,15,19,0.2,1,350,14,True,1.5,2,3,True,1000,1,0,25,True,4,0,0,1,0,0,1,1,0,0,0
23,1810,3,50,203,1.0,2,0,15,False,1.0,0,1,True,100,1,0,25,True,1,1,0,0,0,1,0,1,0,0,0
24,9187,1,2,19,0.5,3,350,14,False,1.0,1,1,True,0,1,500,500,False,1,1,0,0,0,1,0,0,0,1,0
25,9154,2,0,19,0.0,6,50,17,True,1.0,1,3,True,1000,1,0,500,False,2,0,1,0,1,0,0,1,0,0,0
26,2487,2,50,203,1.0,1,350,14,True,1.0,0,1,True,1000,1,0,500,False,3,1,0,0,0,0,1,1,0,0,0
27,1699,2,15,19,0.2,5,150,14,True,1.0,0,2,True,1000,2,1000,500,True,3,1,0,0,0,0,1,1,0,0,0
28,13032,1,2,201,0.5,6,350,19,True,1.0,0,2,True,100,3,500,500,True,2,1,0,0,0,1,0,1,0,0,0
29,7361,1,2,19,0.2,2,350,16,True,1.0,1,1,True,100,1,0,500,False,1,1,0,0,0,0,1,0,0,1,0
30,2076,6,50,19,1.0,1,250,15,False,1.0,0,1,True,0,1,0,25,True,2,0,0,1,0,0,1,1,0,0,0
31,9292,6,2,19,0.2,1,150,15,False,1.0,1,1,True,1000,1,0,25,True,2,1,0,0,0,0,1,1,0,0,0
32,9591,3,2,19,0.5,6,50,12,False,1.0,2,2,True,2400,1,0,500,True,4,1,0,0,0,0,1,1,0,0,0
33,9821,1,15,203,2.0,1,350,17,False,1.0,1,1,True,100,1,0,500,False,2,0,0,1,1,0,0,1,0,0,0
34,5534,2,2,19,0.2,6,350,17,True,2.5,2,5,True,1000,1,0,500,False,4,0,1,0,0,0,1,1,0,0,0
35,13609,6,2,203,0.2,1,350,20,True,1.0,2,3,True,1000,1,0,100,False,4,0,1,0,1,0,0,1,0,0,0
36,12720,1,0,19,0.0,1,150,18,True,1.0,1,1,True,0,1,0,0,True,1,0,1,0,1,0,0,0,0,1,0
37,6824,5,15,202,2.0,1,0,18,False,2.0,2,2,True,1000,4,1000,25,False,4,0,0,1,0,1,0,1,0,0,0
38,12209,2,2,203,1.0,4,0,12,True,2.0,2,4,True,100,3,500,25,False,3,0,1,0,1,0,0,1,0,0,0
39,5558,3,2,202,0.0,2,50,12,True,1.0,1,2,True,1000,3,1000,500,True,3,0,0,1,1,0,0,1,0,0,0
40,8707,3,2,203,0.5,2,0,16,False,1.5,2,3,True,1000,2,500,25,True,3,0,0,1,0,1,0,1,0,0,0
41,9574,2,15,203,2.0,6,150,19,False,1.0,0,2,True,1000,1,0,25,False,3,1,0,0,0,0,1,1,0,0,0
42,13186,3,0,203,0.2,1,150,19,True,1.0,1,2,True,1000,1,0,25,True,2,0,0,1,1,0,0,1,0,0,0
43,10133,2,2,19,0.5,1,250,16,False,1.0,2,3,True,100,1,0,500,True,4,1,0,0,0,1,0,1,0,0,0
44,4441,2,15,18,0.2,1,50,17,True,1.0,1,1,True,1000,1,1,500,True,2,0,0,1,0,0,1,1,0,0,0
45,6838,3,15,203,1.0,1,150,16,False,1.0,1,1,True,1000,1,500,500,True,2,0,0,1,1,0,0,1,0,0,0
46,12250,1,2,201,0.5,3,50,18,False,1.0,1,1,True,2400,1,1,500,False,1,1,0,0,0,0,1,1,0,0,0
47,4810,6,15,203,0.5,4,150,12,False,2.5,2,4,True,2400,1,0,500,True,4,0,0,1,0,1,0,1,0,0,0
48,4754,3,0,17,0.0,1,50,17,True,1.0,2,2,True,1000,1,0,500,True,4,1,0,0,1,0,0,1,0,0,0
49,12559,1,0,201,0.0,6,150,13,False,3.0,3,3,True,2400,6,1000,500,True,4,0,0,1,0,1,0,1,0,0,0
50,6988,4,15,203,1.0,1,150,18,True,1.0,1,1,True,1000,1,0,25,True,2,0,0,1,0,0,1,1,0,0,0
51,9950,1,0,19,0.0,1,0,14,True,1.0,1,1,True,0,1,0,0,True,2,1,0,0,1,0,0,1,0,0,0
52,7625,3,15,204,2.0,1,350,18,True,1.0,1,3,True,100,2,1,25,False,2,0,0,1,0,0,1,1,0,0,0
53,414,2,50,202,0.5,1,350,12,True,1.0,1,0,True,2400,2,500,500,False,4,1,0,0,0,1,0,1,0,0,0
54,13062,2,2,203,1.0,1,0,18,False,2.5,1,2,True,100,1,0,500,False,2,0,1,0,1,0,0,1,0,0,0
55,8361,2,15,203,2.0,1,350,16,True,1.0,1,0,True,1000,1,0,500,False,3,0,0,1,0,1,0,1,0,0,0
